id,ExpID,PatternID,DeviceID,LineNo_ATT,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,ThI,ABst,ThH,DAlt,TAlt,DCRt,CRt,VDop,HAcc,VAcc,SAcc,Delta,Status,GMS,NSats,Alt.1,Spd,GCrs,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,AccZ_2,MagX,MagY,MagZ,MagZ_2,C1,C2,C3,Lat,Lng
0,6,2,F450,14206,-2.52,-0.74,-2.3,-1.55,359.96,2.12,0.1,0.03,0.5558759,0.000246942,0.4973755,-0.2963573,1.502355,-56,-55,1.12,0.58,0.96,0.21,200,4,554817200,14,215.19,0.391,187.202,0.07803127,-0.03241294,-0.2263289,0.2266904,-0.06597171,-10.82373,-10.88622,382,-12,-200,-275,1536,1578,1719,-6.5571579,106.7339642
1,6,2,F450,14216,-2.64,0.28,-2.95,-1.02,359.96,359.69,0.12,0.02,0.5409341999999999,8.55e-05,0.4973755,-0.3963573,1.403758,-56,-56,1.12,0.58,0.95,0.25,200,4,554817400,14,215.1,0.242,187.202,0.04831148,-0.1232456,-0.17645120000000006,1.294079,-0.2425242,-9.683836,-9.850414,385,4,-193,-277,1581,1553,1697,-6.5571584000000005,106.73396409999998
2,6,2,F450,14226,-2.8,-0.42,-3.46,-1.85,359.96,357.66,0.11,0.02,0.5404621000000001,0.000329435,0.4973755,-0.4963568,1.31411,-57,-51,1.12,0.58,0.96,0.27,200,4,554817600,14,215.07,0.016,187.202,-0.1163844,-0.149578,-0.1164267,0.966332,-0.03342856,-10.37003,-9.909281,387,12,-196,-278,1601,1540,1690,-6.557158599999998,106.73396409999998
3,6,2,F450,14236,-2.63,-1.31,-3.7,-3.97,359.96,356.25,0.11,0.02,0.509038,0.0013632770000000002,0.4973755,-0.5963573,1.229523,-59,-54,1.12,0.58,0.96,0.23,200,4,554817800,14,215.02,0.236,215.8407,0.15380339999999998,-0.05865728,-0.06477766,0.1234012,-0.2633449,-9.46225,-9.291891,373,27,-207,-290,1604,1529,1712,-6.5571587,106.7339639
4,6,2,F450,14246,-2.38,-0.74,-2.95,-4.04,359.96,355.72,0.1,0.03,0.4710219,0.001110762,0.4973755,-0.6963566999999999,1.153755,-61,-59,1.12,0.58,0.96,0.25,200,4,554818000,14,214.98,0.098,215.8407,0.14914660000000002,0.2159107,-0.01391621,-0.06684854,-0.3572804,-10.60532,-9.741194,370,41,-215,-296,1594,1520,1682,-6.557158599999998,106.7339636
5,6,2,F450,14256,-2.32,0.31,-1.61,-1.65,359.96,355.55,0.11,0.03,0.5178912999999999,0.00022918,0.4973755,-0.7963566999999999,1.079534,-64,-51,1.12,0.58,0.96,0.27,200,4,554818200,14,214.86,0.15,215.8407,0.06097673,0.2332842,-0.01864955,0.4955914000000001,0.15081270000000002,-9.391306,-9.255808,376,36,-208,-277,1524,1582,1673,-6.5571584000000005,106.7339635
6,6,2,F450,14266,-2.49,0.34,-0.9,0.36,359.96,355.23,0.1,0.04,0.5438208999999999,2.14e-05,0.4973755,-0.8963572,0.9957234,-65,-50,1.12,0.58,0.96,0.25,200,4,554818400,14,214.76,0.219,215.8407,-0.00137248,-0.09433178,-0.0945072,0.1705894,0.01546195,-8.991995,-8.705786,390,36,-195,-269,1609,1495,1686,-6.5571579,106.7339636
7,6,2,F450,14276,-2.8,-0.68,-0.78,-0.65,359.96,354.1,0.08,0.03,0.5253313000000001,7.5e-05,0.4973755,-0.9963571,0.8939079,-65,-57,1.12,0.58,0.96,0.25,200,4,554818600,14,214.7,0.257,215.8407,-0.193125,-0.131751,-0.1822755,-0.1553359,-0.3794399000000001,-9.488565,-9.301373,389,41,-187,-270,1602,1529,1692,-6.5571574,106.7339635
8,6,2,F450,14286,-2.69,-2.3,-0.58,-1.15,359.96,351.84,0.07,0.03,0.5162571,0.000503302,0.4973755,-1.096357,0.7809047,-64,-60,1.12,0.58,0.96,0.24,200,4,554818800,14,214.61,0.376,255.6235,0.112965,0.008258373000000001,-0.3034598,0.4149373,-0.02979001,-10.12624,-9.284461,374,59,-198,-278,1571,1584,1671,-6.5571571,106.7339629
9,6,2,F450,14296,-1.94,-1.82,-0.05,-1.16,359.96,348.26,0.08,0.02,0.5084707,0.000448346,0.4973755,-1.196357,0.6685651999999999,-62,-63,1.12,0.58,0.96,0.27,200,4,554819000,14,214.48,0.06900001,255.6235,0.09114964,0.03049966,-0.395925,-0.5840380999999999,-0.9562266,-9.239492,-8.875191000000003,384,82,-191,-268,1624,1568,1653,-6.557156900000002,106.7339624
